,name,epochs,dropout,optimizer,activation,batch_size,initializer,learning_rate,layer_size_hl1,layer_size_hl2,layer_size_hl3,layer_size_hl4,layer_size_hl5,optmizer,layerSizeH1,layerSizeHl1,layerSizeHl2,layer_size,channels_one,channels_two,initializer,layer_size_hl2,_timestamp,id,dropout,_runtime,accuracy,optimizer,epochs,best_epoch,layer_size_hl1,batch_size,val_accuracy,best_val_loss,loss,_step,epoch,val_loss,activation,learning_rate,layer_size_hl3,graph,layer_syze_hl3,layer_syze_hl1,layer_syze_hl2,val_categorical_crossentropy,categorical_crossentropy,layer_syze_hl4,layer_syze_hl5,layer_syze
58,astral-sweep-5,6,0.3,rmsprop,relu,196.0,he_normal,0.0013037840105977134,15,27,26,,,,,,,,,,he_normal,27.0,1612024370.0,c7ee3a37,0.3,9.0,0.7574653029441833,rmsprop,6,4.0,15.0,196.0,0.7645833492279053,0.480564683675766,0.4887395203113556,6.0,5.0,0.48239922523498535,relu,0.0013037840105977134,26.0,,,,,,,,,
59,chocolate-sweep-4,12,0.1,rmsprop,relu,96.0,he_normal,0.0015185961592226512,23,7,11,,,,,,,,,,he_normal,7.0,1612024329.0,aa9f0ed8,0.1,17.0,0.8212500214576721,rmsprop,12,11.0,23.0,96.0,0.8188889026641846,0.39159420132637024,0.3892771601676941,12.0,11.0,0.39159420132637024,relu,0.0015185961592226512,11.0,,,,,,,,,
60,divine-sweep-3,25,0.3,rmsprop,relu,32.0,he_normal,0.0014825061007979023,10,28,17,,,,,,,,,,he_normal,28.0,1612024282.0,6a7b1f5a,0.3,78.0,0.8619097471237183,rmsprop,25,20.0,10.0,32.0,0.8680555820465088,0.3020285964012146,0.32944318652153015,25.0,24.0,0.323855996131897,relu,0.0014825061007979023,17.0,,,,,,,,,
61,stellar-sweep-2,14,0.1,rmsprop,relu,128.0,he_normal,0.0006245473796663008,12,26,6,,,,,,,,,,he_normal,26.0,1612024177.0,50247569,0.1,17.0,0.7906249761581421,rmsprop,14,13.0,12.0,128.0,0.7911111116409302,0.4417988061904907,0.4427814781665802,14.0,13.0,0.4417988061904907,relu,0.0006245473796663008,6.0,,,,,,,,,
62,cool-sweep-1,28,0.4,rmsprop,relu,196.0,he_normal,0.000628963323013894,18,17,16,,,,,,,,,,he_normal,17.0,1612024132.0,32b1d283,0.4,22.0,0.793506920337677,rmsprop,28,27.0,18.0,196.0,0.8016666769981384,0.4426270127296448,0.4491124153137207,28.0,27.0,0.4426270127296448,relu,0.000628963323013894,16.0,,,,,,,,,
63,distinctive-darkness-2769,10,0.4,rmsprop,relu,32.0,he_normal,0.001,36,36,36,,,,,,,,,,he_normal,36.0,1611970580.0,7c4d678e,0.4,33.0,0.8404513597488403,rmsprop,10,9.0,36.0,32.0,0.8313888907432556,0.37774133682250977,0.3676086962223053,10.0,9.0,0.37774133682250977,relu,0.001,36.0,,,,,,,,,
64,lively-dawn-2768,10,0.4,rmsprop,relu,32.0,he_normal,0.001,12,12,12,,,,,,,,,,he_normal,12.0,1611970483.0,42649e34,0.4,33.0,0.7226735949516296,rmsprop,10,5.0,12.0,32.0,0.726111114025116,0.49440932273864746,0.49371370673179626,10.0,9.0,0.4960561990737915,relu,0.001,12.0,,,,,,,,,
65,laced-blaze-2767,15,0.4,rmsprop,relu,32.0,he_normal,0.001,20,26,12,,,,,,,,,,he_normal,26.0,1611969508.0,f427810e,0.4,49.0,0.8115972280502319,rmsprop,15,14.0,20.0,32.0,0.8159722089767456,0.4016273319721222,0.4078601002693176,15.0,14.0,0.4016273319721222,relu,0.001,12.0,,,,,,,,,
66,stoic-valley-2719,10,0.4,rmsprop,relu,32.0,he_normal,0.002,28,21,14,,,,,,,,,,he_normal,21.0,1611280020.0,a60d608a,0.4,33.0,0.8734722137451172,rmsprop,10,7.0,28.0,32.0,0.8758333325386047,0.290378600358963,0.2961176633834839,10.0,9.0,0.2932496666908264,relu,0.002,14.0,,,,,,,,,
67,generous-sponge-2718,10,0.4,rmsprop,relu,32.0,he_normal,0.002,28,21,14,,,,,,,,,,he_normal,21.0,1611279909.0,54133382,0.4,60.0,0.7070833444595337,rmsprop,10,9.0,28.0,32.0,0.714090883731842,0.517515242099762,0.5225658416748047,10.0,9.0,0.517515242099762,relu,0.002,14.0,,,,,,,,,
